"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Aberchirder,S19001273," 1,260 ", 245 , 723 , 292 ,,,
Aberdeen,S19001274," 200,680 "," 29,048 "," 141,955 "," 29,677 ",,,
Aberdour,S19001275," 1,710 ", 347 ," 1,007 ", 356 ,,,
Aberfeldy,S19001276," 1,950 ", 299 ," 1,160 ", 491 ,,,
Aberfoyle,S19001277, 830 , 158 , 541 , 131 ,,,
Aberlady,S19001278," 1,190 ", 225 , 708 , 257 ,,,
Aberlour,S19001279," 1,050 ", 147 , 573 , 330 ,,,
Abernethy,S19001280," 1,460 ", 291 , 897 , 272 ,,,
Aboyne,S19001281," 2,910 ", 572 ," 1,696 ", 642 ,,,
Addiewell,S19001282," 1,340 ", 321 , 791 , 228 ,,,
Airdrie,S19001283," 37,410 "," 6,834 "," 24,228 "," 6,348 ",,,
Airth,S19001284," 1,940 ", 389 ," 1,170 ", 381 ,,,
Alexandria,S19001285," 6,860 "," 1,050 "," 4,356 "," 1,454 ",,,
Alford,S19001286," 2,520 ", 451 ," 1,520 ", 549 ,,,
Allanton,S19001287," 1,150 ", 163 , 737 , 250 ,,,
Alloa,S19001288," 14,420 "," 2,553 "," 9,390 "," 2,477 ",,,
Almondbank,S19001289," 1,430 ", 204 , 890 , 336 ,,,
Alness,S19001290," 5,800 "," 1,213 "," 3,470 "," 1,117 ",,,
Alva,S19001291," 4,600 ", 652 ," 2,873 "," 1,075 ",,,
Alyth,S19001292," 2,400 ", 388 ," 1,365 ", 647 ,,,
Ancrum,S19001293, 500 , 74 , 284 , 142 ,,,
Annan,S19001294," 8,780 "," 1,592 "," 5,247 "," 1,941 ",,,
Annbank,S19001295, 920 , 165 , 581 , 174 ,,,
Anstruther,S19001296," 3,810 ", 654 ," 2,253 ", 903 ,,,
Arbroath,S19001297," 23,940 "," 4,228 "," 14,626 "," 5,086 ",,,
Ardersier,S19001298," 1,190 ", 225 , 755 , 210 ,,,
Ardrishaig,S19001299," 1,290 ", 218 , 745 , 327 ,,,
Ardrossan,S19001300," 10,670 "," 1,711 "," 6,814 "," 2,145 ",,,
Armadale,S19001301," 12,550 "," 2,743 "," 7,879 "," 1,928 ",,,
Ashgill,S19001302," 1,460 ", 250 , 851 , 359 ,,,
Auchenblae,S19001303, 560 , 134 , 346 , 80 ,,,
Auchinleck,S19001304," 3,730 ", 661 ," 2,277 ", 792 ,,,
Auchinloch,S19001305, 720 , 96 , 432 , 192 ,,,
Auchterarder,S19001306," 5,120 ", 781 ," 2,991 "," 1,348 ",,,
Auchtermuchty,S19001307," 2,110 ", 346 ," 1,279 ", 485 ,,,
Auldearn,S19001308, 640 , 107 , 417 , 116 ,,,
Aviemore,S19001309," 3,240 ", 541 ," 2,148 ", 551 ,,,
Avoch,S19001310," 1,020 ", 167 , 626 , 227 ,,,
Avonbridge,S19001311, 660 , 121 , 435 , 104 ,,,
Ayr,S19001312," 46,780 "," 7,251 "," 28,123 "," 11,406 ",,,
Ayton,S19001313, 600 , 85 , 344 , 171 ,,,
Baile a'Mhanaich (Balivanich),S19001314, 530 , 118 , 337 , 75 ,,,
Balfron,S19001315," 2,100 ", 432 ," 1,302 ", 366 ,,,
Balintore,S19001316," 1,010 ", 199 , 566 , 245 ,,,
Ballachulish,S19001317, 640 , 104 , 381 , 155 ,,,
Ballater,S19001318," 1,460 ", 168 , 807 , 485 ,,,
"Ballingry, Lochore and Crosshill",S19001319," 5,740 "," 1,150 "," 3,504 "," 1,086 ",,,
Balloch,S19001320," 1,390 ", 213 , 786 , 391 ,,,
Balloch and Haldane,S19001321," 6,050 "," 1,041 "," 3,834 "," 1,175 ",,,
Balmedie,S19001322," 2,560 ", 595 ," 1,655 ", 310 ,,,
Balmullo,S19001323," 1,370 ", 212 , 812 , 346 ,,,
Banavie and Corpach,S19001324," 1,360 ", 222 , 847 , 291 ,,,
Banchory,S19001325," 7,560 "," 1,433 "," 4,572 "," 1,555 ",,,
Banff,S19001326," 4,100 ", 666 ," 2,483 ", 951 ,,,
Bankfoot,S19001327," 1,220 ", 200 , 728 , 292 ,,,
Banknock,S19001328," 2,440 ", 442 ," 1,565 ", 433 ,,,
Bannockburn,S19001329," 6,840 "," 1,156 "," 4,510 "," 1,174 ",,,
Bargeddie,S19001330," 2,960 ", 616 ," 1,930 ", 414 ,,,
Barrhead,S19001331," 17,610 "," 3,109 "," 11,272 "," 3,229 ",,,
Bathgate,S19001332," 22,920 "," 4,714 "," 15,160 "," 3,046 ",,,
Bearsden,S19001333," 28,120 "," 5,111 "," 16,139 "," 6,870 ",,,
Beauly,S19001334," 1,470 ", 221 , 874 , 375 ,,,
Beith,S19001335," 6,040 ", 960 ," 3,781 "," 1,299 ",,,
Bellsbank,S19001336," 1,270 ", 245 , 815 , 210 ,,,
Bellshill,S19001337," 20,290 "," 3,610 "," 13,328 "," 3,352 ",,,
Biggar,S19001338," 2,420 ", 360 ," 1,407 ", 653 ,,,
