location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
comrie,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,good,not interested in social programme,average,good,average,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,good,excellent,excellent,good,good,yes,yes,excellent,other uk,NA
bridge of allan,5380,hired vehicle,public transport,other,comrie,100,40,3,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,375,150,17,good,average,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA
dundee,148280,own vehicle,own vehicle,other,comrie,360,150,3,good,good,good,good,good,good,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,other uk,NA
barry buddon,NA,rail,shared private vehicle,2,comrie,500,30,4,excellent,excellent,good,NA,excellent,excellent,yes,no,NA,rest of the world,NA
dunning,970,own vehicle,own vehicle,other,hotel,1600,200,8,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,comrie,900,100,5,excellent,excellent,not interested in social programme,excellent,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,750,200,other,excellent,good,not interested in social programme,average,good,good,no,no,NA,scotland,midlothian
scone,5050,own vehicle,cycle,other,self catering,1000,1000,2,excellent,good,not interested in social programme,excellent,average,poor,some days,yes,excellent,scotland,highland
perth,47430,own vehicle,own vehicle,other,self catering,250,150,1,good,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1400,100,8,good,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
