travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority,overnight_stay_location
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,good,not interested in social programme,average,good,average,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,good,excellent,excellent,good,good,yes,yes,excellent,other uk,NA,comrie croft
hired vehicle,públic transport,0,event campsite (comrie croft),100,40,3,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA,bridge of allan
own vehicle,own vehicle,0,self-catering accommodation,375,150,17,good,average,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,event campsite (comrie croft),360,150,3,good,good,good,good,good,good,some days,no,NA,other uk,NA,dundee
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,other uk,NA,crieff
rail,shared private vehicle,2,event campsite (comrie croft),500,30,4,excellent,excellent,good,NA,excellent,excellent,yes,no,NA,rest of the world,NA,barry buddon
own vehicle,own vehicle,0,hotel,1600,200,8,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,near dunning
own vehicle,own vehicle,0,event campsite (comrie croft),900,100,5,excellent,excellent,not interested in social programme,excellent,good,good,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,excellent,good,not interested in social programme,average,good,good,no,no,NA,scotland,mid lothian,comrie  crofy
own vehicle,cycle,0,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,excellent,average,poor,some days,yes,excellent,scotland,highland,scone
own vehicle,own vehicle,0,self-catering accommodation,250,150,1,good,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,1400,100,8,good,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,crieff
own vehicle,event bus,5,event campsite (comrie croft),0,75,7,excellent,excellent,not interested in social programme,average,excellent,excellent,some days,yes,average,scotland,stirling,braco
living there,shared private vehicle,0,at home,170,200,3,excellent,excellent,not interested in social programme,good,excellent,good,no,no,NA,other europe,NA,comrie
own vehicle,own vehicle,0,hotel,500,30,4,excellent,good,not interested in social programme,average,average,excellent,some days,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,guest house / b+b,0,75,7,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,280,200,0,good,good,good,NA,good,good,some days,yes,good,other uk,NA,event campsite
air,hired vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,good,average,yes,no,NA,other europe,NA,lochearnhead
own vehicle,cycle,0,event campsite (comrie croft),90,100,16,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie and tummel bridge
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,good,excellent,not interested in social programme,average,good,average,some days,no,NA,other uk,NA,dunkeld
own vehicle,event bus,6,event campsite (comrie croft),350,60,5,excellent,excellent,good,average,good,good,yes,yes,good,other uk,NA,comrie
car lift from friend,shared private vehicle,1,self-catering accommodation,400,50,2,excellent,good,not interested in social programme,NA,excellent,excellent,some days,yes,good,scotland,fife,wigton
own vehicle,own vehicle,0,self-catering accommodation,900,100,5,excellent,excellent,excellent,good,excellent,average,yes,yes,good,other europe,NA,killin
own vehicle,event bus,5,event campsite (comrie croft),80,70,2,excellent,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,scotland,aberdeen city,tullibardine
own vehicle,own vehicle,0,second home,140,150,4,excellent,excellent,not interested in social programme,good,good,excellent,some days,no,NA,other europe,NA,dunkeld
air,hired vehicle,0,hotel,0,75,7,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,killin
military car,event bus,6,self-catering accommodation,1200,100,7,excellent,good,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,comrie only
own vehicle,cycle,0,event campsite (comrie croft),0,75,7,excellent,excellent,not interested in social programme,poor,excellent,excellent,yes,yes,excellent,scotland,grampian,glasgow
own vehicle,own vehicle,0,hotel,0,75,7,excellent,good,excellent,good,excellent,excellent,yes,no,NA,rest of the world,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,NA,good,good,no,no,NA,other uk,NA,dunkeld
own vehicle,event bus,4,event campsite (comrie croft),140,150,4,excellent,excellent,excellent,good,excellent,good,yes,yes,good,scotland,aberdeenshire,comrie
own vehicle,own vehicle,0,hotel,150,150,3,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,other camping / caravan site,120,140,6,excellent,good,not interested in social programme,good,good,good,no,no,NA,scotland,perth & kinross,kinkell bridge
own vehicle,own vehicle,0,other camping / caravan site,200,90,20,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,perth
own vehicle,own vehicle,0,other camping / caravan site,90,100,16,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,scotland,scottish borders,comrie
hired vehicle,hired vehicle,0,hotel,900,100,5,excellent,good,not interested in social programme,very poor,excellent,excellent,yes,yes,excellent,other uk,NA,sterling university campus
